Movie,Votes,Director,Stars,Description
Atomic Blonde,143232,David Leitch,"Charlize Theron,James McAvoy,John Goodman,Eddie Marsan",An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.
Gerald's Game,60235,Mike Flanagan,"Carla Gugino,Bruce Greenwood,Chiara Aurelia,Carel Struycken","While trying to spice up their marriage in their remote lake house, Jessie must fight to survive when her husband dies unexpectedly, leaving her handcuffed to their bed frame."
Downsizing,70557,Alexander Payne,"Matt Damon,Christoph Waltz,Hong Chau,Kristen Wiig","A social satire in which a man realizes he would have a better life if he were to shrink himself to five inches tall, allowing him to live in wealth and splendor."
Fifty Shades Darker,78441,James Foley,"Dakota Johnson,Jamie Dornan,Eric Johnson,Eloise Mumford","While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her."
Valerian and the City of a Thousand Planets,133867,Luc Besson,"Dane DeHaan,Cara Delevingne,Clive Owen,Rihanna","A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe."
Pitch Perfect 3,41720,Trish Sie,"Anna Kendrick,Rebel Wilson,Brittany Snow,Anna Camp","Following their win at the world championship, the now separated Bellas reunite for one last singing competition at an overseas USO tour, but face a group who uses both instruments and voices."
Revenge,23364,Coralie Fargeat,"Matilda Anna Ingrid Lutz,Kevin Janssens,Vincent Colombe,Guillaume Bouchède","Never take your mistress on an annual guys' getaway, especially one devoted to hunting - a violent lesson for three wealthy married men."
King Arthur: Legend of the Sword,162139,Guy Ritchie,"Charlie Hunnam,Astrid Bergès-Frisbey,Jude Law,Djimon Hounsou","Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not."
The Fate of the Furious,173436,F. Gary Gray,"Vin Diesel,Jason Statham,Dwayne Johnson,Michelle Rodriguez","When a mysterious woman seduces Dom into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before."
Disobedience,15777,Sebastián Lelio,"Rachel Weisz,Rachel McAdams,Alessandro Nivola,Anton Lesser","A woman returns to her Orthodox Jewish community that shunned her for her attraction to a female childhood friend. Once back, their passions reignite as they explore the boundaries of faith and sexuality."
The Ritual,49240,David Bruckner,"Rafe Spall,Arsher Ali,Robert James-Collier,Sam Troughton","A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them."
Logan Lucky,101070,Steven Soderbergh,"Channing Tatum,Adam Driver,Daniel Craig,Farrah Mackenzie",Two brothers attempt to pull off a heist during a NASCAR race in North Carolina.
The Hitman's Bodyguard,154497,Patrick Hughes,"Ryan Reynolds,Samuel L. Jackson,Gary Oldman,Elodie Yung","The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time."
I'm Not Here,88,Michelle Schumacher,"J.K. Simmons,Sebastian Stan,Maika Monroe,Mandy Moore","A man struggles with the tragic memories of his past to make sense of his present, but soon realizes that time isn't the enemy he thinks it is."
Ghost in the Shell,168595,Rupert Sanders,"Scarlett Johansson,Pilou Asbæk,Takeshi Kitano,Juliette Binoche","In the near future, Major Mila Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals."
Dismissed,4659,Benjamin Arfmann,"Kent Osborne,Dylan Sprouse,Rae Gray,Alycia Delmore","An idealistic, straight-edge teacher is drawn down a horrid rabbit hole by an honors student when he gives him a B+ on a paper."
The Florida Project,66846,Sean Baker,"Brooklynn Prince,Bria Vinaite,Willem Dafoe,Christopher Rivera","Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World."
The Lego Batman Movie,109858,Chris McKay,"Will Arnett,Michael Cera,Rosario Dawson,Ralph Fiennes","A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick."
All the Money in the World,56351,Ridley Scott,"Michelle Williams,Christopher Plummer,Mark Wahlberg,Romain Duris",The story of the kidnapping of 16-year-old John Paul Getty III and the desperate attempt by his devoted mother to convince his billionaire grandfather Jean Paul Getty to pay the ransom.
