Movie,Votes,Director,Stars,Description
A Swingers Weekend,135,Jon E. Cohen,"Erin Karpluk,Randal Edwards,Erin Agostino,Michael Xavier",Seemingly perfect couple Lisa and Dan plan a steamy swingers weekend. However things go wrong when a third couple drops in unexpectedly.
Gnome Alone,1505,Peter Lepeniotis,"Becky G,Josh Peck,Tara Strong,Olivia Holt","When Chloe discovers that her new home's garden gnomes are not what they seem, she must decide between the pursuit of a desired high school life and taking up the fight against the Troggs."
Another WolfCop,792,Lowell Dean,"Leo Fafard,Yannick Bisson,Amy Matysio,Jonathan Cherry",Alcoholic werewolf cop Lou Garou springs into action when an eccentric businessman with evil intentions seduces Woodhaven's residents with a new brewery and hockey team in this outrageous horror-comedy sequel.
The Man Who Invented Christmas,8873,Bharat Nalluri,"Dan Stevens,Mark Schrier,Patrick Joseph Byrnes,Miriam Margolyes","The journey that led to Charles Dickens' creation of ""A Christmas Carol,"" a timeless tale that would redefine Christmas."
Churchill,11628,Jonathan Teplitzky,"Brian Cox,Miranda Richardson,John Slattery,Julian Wadham","96 hours before the World War II invasion of Normandy, British Prime Minister Winston Churchill struggles with his severe reservations with Operation Overlord and his increasingly marginalized role in the war effort."
Freak Show,1729,Trudie Styler,"AnnaSophia Robb,Abigail Breslin,Bette Midler,Alex Lawther","Follows the story of teenager Billy Bloom who, despite attending an ultra conservative high school, makes the decision to run for homecoming queen."
Kung Fu Yoga,7156,Stanley Tong,"Jackie Chan,Disha Patani,Amyra Dastur,Aarif Rahman","Two professors team up to locate a lost treasure and embark on an adventure that takes them from a Tibetan ice cave to Dubai, and to a mountain temple in India."
L'insulte,9995,Ziad Doueiri,"Adel Karam,Kamel El Basha,Camille Salameh,Diamand Bou Abboud","After an emotional exchange between a Lebanese Christian and a Palestinian refugee escalates, the men end up in a court case that gets national attention."
Gi-eok-ui bam,6157,Hang-jun Jang,"Ha-Neul Kang,Mu-Yeol Kim,Seong-kun Mun,Young-hee Na","When his abducted brother returns seemingly a different man with no memory of the past 19 days, Jin-seok chases after the truth behind the kidnapping."
Brigsby Bear,12860,Dave McCary,"Kyle Mooney,Mark Hamill,Jorge Lendeborg Jr.,Matt Walsh","After being freed from his life in an underground bunker, a man sets out to make a movie of the only TV show he has ever known."
The Doll 2,180,Rocky Soraya,"Herjunot Ali,Luna Maya,Sara Wijayanto,Maria Sabta","Maira and Aldo lives happily with Kayla, their youngest child and Yani, their maid. But a tragic accident took Kayla's live away and also their happiness. Maira changes into someone so ...                See full summary »"
The Hunter's Prayer,5975,Jonathan Mostow,"Sam Worthington,Odeya Rush,Allen Leech,Amy Landecker",An assassin helps a young woman avenge the death of her family.
Final Portrait,3439,Stanley Tucci,"Geoffrey Rush,Armie Hammer,Tony Shalhoub,Sylvie Testud",The story of Swiss painter and sculptor Alberto Giacometti.
Security,12659,Alain Desrochers,"Antonio Banderas,Ben Kingsley,Liam McIntyre,Cung Le",A security guard protects an eleven year-old girl who is being targeted by a gang for participating as a trial witness.
Knock,1752,Lorraine Lévy,"Omar Sy,Alex Lutz,Ana Girardot,Sabine Azéma",Doctor Knock is a former thug who has become a doctor and arrives in the small village of Saint-Maurice to make his fortune according to a particular method. It will make the villagers ...                See full summary »
Wolf Warrior 2,5153,Jing Wu,"Jing Wu,Frank Grillo,Celina Jade,Gang Wu","China's deadliest special forces operative settles into a quiet life on the sea. When sadistic mercenaries begin targeting nearby civilians, he must leave his newfound peace behind and return to his duties as a soldier and protector."
"Mektoub, My Love: Canto Uno",1164,Abdellatif Kechiche,"Shaïn Boumedine,Ophélie Bau,Salim Kechiouche,Lou Luttiau",A teen boy comes back to his hometown during summer vacation in search for love (in 1994).
Gemini,3182,Aaron Katz,"Lola Kirke,Zoë Kravitz,John Cho,Greta Lee","A heinous crime tests the complex relationship between a tenacious personal assistant and her Hollywood starlet boss. As the assistant unravels the mystery, she must confront her own understanding of friendship, truth and celebrity."
Happy End,9572,Michael Haneke,"Isabelle Huppert,Jean-Louis Trintignant,Mathieu Kassovitz,Fantine Harduin",A drama about a family set in Calais with the European refugee crisis as the backdrop.
What Will People Say,2136,Iram Haq,"Maria Mozhdah,Adil Hussain,Ekavali Khanna,Rohit Saraf","Sixteen year-old Nisha lives a double life. At home with her family she is the perfect Pakistani daughter, but when out with her friends, she is a normal Norwegian teenager. When her father...                See full summary »"
Jab Harry Met Sejal,16328,Imtiaz Ali,"Shah Rukh Khan,Anushka Sharma,Björn Freiberg,Martavious Gayles",A depressed middle-aged tour guide who lives in his own bubble gets another chance to experience and face reality through a chirpy girl.
Mata Batin,592,Rocky Soraya,"Jessica Mila,Denny Sumargo,Citra Prima,Bianca Hello","Alia decides to leave Bangkok and return to Jakarta after her parents die. She and Abel, her teenage sister, move into their childhood home away from the city. But Abel, who is often ...                See full summary »"
The Bachelors,2511,Kurt Voelker,"Odeya Rush,J.K. Simmons,Kitana Turnbull,Harold Perrineau","After the early death of his wife, a mourning father moves with his teenage son across the country for a private school teaching job. Their lives begin to transform due to two unique women, who help them embrace life and love again."
Sin-gwa ham-kke: Jwi-wa beol,8374,Yong-hwa Kim,"Jung-woo Ha,Tae-Hyun Cha,Ji-Hoon Ju,Hyang-gi Kim","After a heroic death, a firefighter navigates the afterlife with the help of three guides."
Sicilian Ghost Story,1063,"Fabio Grassadonia,Antonio Piazza","Julia Jedlikowska,Gaetano Fernandez,Corinne Musallari,Andrea Falzone","Against a heavy cloak of secrecy, a 12-year-old girl smitten with her handsome classmate ventures deeper and deeper into the enchanted Sicilian forests to find him, unaware of just how thick is the mystery behind his strange disappearance."
Bushwick,7042,"Jonathan Milott,Cary Murnion","Dave Bautista,Brittany Snow,Angelic Zambrana,Jeremie Harris","When a Texas military force invades their Brooklyn neighborhood, 20-year-old Lucy and war veteran Stupe must depend on each other to survive."
Batman and Harley Quinn,8600,Sam Liu,"Kevin Conroy,Melissa Rauch,Paget Brewster,Loren Lester","Batman and Nightwing are forced to team with the Joker's sometimes-girlfriend Harley Quinn to stop a global threat brought about by Poison Ivy and Jason Woodrue, the Floronic Man."
Les affamés,5445,Robin Aubert,"Marc-André Grondin,Monia Chokri,Charlotte St-Martin,Micheline Lanctôt","In a small, remote village in upstate Quebec, things have changed. Locals are not the same anymore - their bodies are breaking down and they have turned against their loved ones. A handful of survivors goes hiding into the woods, looking for others like them."
Let There Be Light,2038,Kevin Sorbo,"Kevin Sorbo,Sam Sorbo,Daniel Roebuck,Donielle Artese",An atheist goes through a near-death experience in a car accident before converting to Christianity.
Fun Mom Dinner,3623,Alethea Jones,"Katie Aselton,Toni Collette,Bridget Everett,Molly Shannon","Four moms whose only common ground is their kids' preschool class, decide to get together for a harmless ""fun mom dinner."""
How to Get Girls,373,"Omri Dorani,Zach Fox","Chris Elliott,David Koechner,Kate Flannery,Chris Kattan",A nerdy high schooler exploits his childhood best friend's newly found good looks to climb the popularity chain.
A Violent Man,388,Matthew Berkowitz,"Thomas Q. Jones,Isaach De Bankolé,Chuck Liddell,Bruce Davison",A struggling mixed martial arts fighter finds himself in a fight for his life after his one night stand is found dead in her home.
Babumoshai Bandookbaaz,1149,Kushan Nandy,"Nawazuddin Siddiqui,Bidita Bag,Jatin Goswami,Shradha Das","The movie, filled with humor and romance, is a quirky ride into the life and times of a small time contract killer, Babu, played by Nawazuddin Siddiqui. The film spins around his love, his friends, his rivalries and his revenge."
9/11,2451,Martin Guigui,"Charlie Sheen,Gina Gershon,Whoopi Goldberg,Luis Guzmán","A group of five people find themselves trapped in an elevator in the World Trade Center's North Tower on 9/11. They work together, never giving up hope, to try to escape before the unthinkable happens."
Dear Dictator,2992,"Lisa Addario,Joe Syracuse","Michael Caine,Odeya Rush,Katie Holmes,Seth Green","When political turmoil forces a British-Caribbean dictator to flee his island nation, he seeks refuge and hides with a rebellious teenage girl in suburban America, and ends up teaching the young teen how to start a revolution and overthrow the ""mean girls"" at her high school."
Bomb City,5221,Jameson Brooks,"Dave Davis,Glenn Morshower,Logan Huffman,Lorelei Linklater","A crime-drama, about the cultural aversion of a group of punk rockers in a conservative Texas town. Their ongoing battle with a rival, more-affluent clique leads to a controversial hate crime that questions the morality of American justice."
Shimmer Lake,8090,Oren Uziel,"Benjamin Walker,Rainn Wilson,Stephanie Sigman,John Michael Higgins",An inventive crime thriller told backwards -- reversing day by day through a week -- following a local sheriff's quest to unlock the mystery of three small town criminals and a bank heist gone wrong.
BPM (Beats Per Minute),9816,Robin Campillo,"Nahuel Pérez Biscayart,Arnaud Valois,Adèle Haenel,Antoine Reinartz",Members of the advocacy group ACT UP Paris demand action by the government and pharmaceutical companies to combat the AIDS epidemic in the early 1990s.
Journeyman,2113,Paddy Considine,"Paddy Considine,Jodie Whittaker,Paul Popplewell,Brendan Ingle","Boxer Matty Burton suffers a serious head injury during a fight. It is about the impact this has on his marriage, his life and and his family."
Mugen no jûnin,11478,Takashi Miike,"Takuya Kimura,Hana Sugisaki,Sôta Fukushi,Hayato Ichihara","Manji, a highly skilled samurai, becomes cursed with immortality after a legendary battle. Haunted by the brutal murder of his sister, Manji knows that only fighting evil will regain his soul. He promises to help a young girl named Rin avenge her parents, who were killed by a group of master swordsmen led by ruthless warrior Anotsu. The mission will change Manji in ways he could never imagine - ...                See full summary »"
The Ballad of Lefty Brown,3653,Jared Moshe,"Bill Pullman,Peter Fonda,Stephen Alan Seder,Kathy Baker","A thrilling and action-packed Western, The Ballad of Lefty Brown is a story about loyalty, friendship, and the relentless pursuit of justice."
The Year of Spectacular Men,549,Lea Thompson,"Madelyn Deutch,Jesse Bradford,Cameron Monaghan,Brandon T. Jackson","Story of Izzy Klein, a young woman fresh out of college as she strikes up and ruins relationships with several men, and struggles to navigate the failures of post-college adulthood, leaning on her mother and older sister for support."
The Dinner,6242,Oren Moverman,"Michael Chernus,Taylor Rae Almonte,Steve Coogan,Charlie Plummer",Two sets of wealthy parents meet for dinner to decide what to do about a crime their sons have committed.
The Tribes of Palos Verdes,1507,"Brendan Malloy,Emmett Malloy","Maika Monroe,Cody Fern,Jennifer Garner,Justin Kirk","When the situation at her idyllic Palos Verdes home turns volatile, young Medina attempts to surf her way to happiness."
55 Steps,807,Bille August,"Helena Bonham Carter,Hilary Swank,Jeffrey Tambor,Richard Riddell","When patients' rights lawyer Colette Hughes goes to meet her new client, Eleanor Riese, a patient in the psychiatric unit of a San Francisco hospital, she has no idea that besides taking on...                See full summary »"
Desearás al hombre de tu hermana,941,Diego Kaplan,"Carolina Ardohain,Mónica Antonópulos,Juan Sorini,Guilherme Winter","Lucía and Ofelia, two sisters, finally meet after 7 years at Lucia's wedding. But when Juan, Lucia's husband, and Ofelia meet, they feel like a disruptive fantasy have enchanted their minds and bodies..."
Palm Swings,424,Sean Hoessli,"Tia Carrere,Sugar Lyn Beard,Jason Lewis,Diane Farr","After moving to Palm Springs, a young married couple puts their love to the test when they discover their neighbors are swingers."
Izzy Gets the Fuck Across Town,877,Christian Papierniak,"Mackenzie Davis,Dolly Wells,Alex Russell,Lakeith Stanfield",A woman at rock bottom must find her way across Los Angeles in order to crash her ex-boyfriend's engagement party.
Arsenal,3321,Steven C. Miller,"Nicolas Cage,John Cusack,Adrian Grenier,Johnathon Schaech",A Southern mobster attempts to rescue his kidnapped brother.
Indian Horse,640,Stephen S. Campanelli,"Sladen Peltier,Forrest Goodluck,Ajuawak Kapashesit,Michiel Huisman","Follows the life of Canadian First Nations boy, Saul Indian Horse, as he survives residential school and life amongst the racism of the 1970s. A talented hockey player, Saul must find his own path as he battles stereotypes and alcoholism."
Tragedy Girls,6428,Tyler MacIntyre,"Brianna Hildebrand,Alexandra Shipp,Jack Quaid,Kevin Durand","A twist on the slasher genre, following two death-obsessed teenage girls who use their online show about real-life tragedies to send their small mid-western town into a frenzy, and cement their legacy as modern horror legends."
Fack ju Göhte 3,3262,Bora Dagtekin,"Elyas M'Barek,Katja Riemann,Jella Haase,Sandra Hüller",A bank robber becomes a teacher after being released from prison and finds himself at the center of a number of crazy adventures.
Hickok,2072,Timothy Woodward Jr.,"Luke Hemsworth,Kris Kristofferson,Trace Adkins,Bruce Dern","Legendary lawman and gunslinger, Wild Bill Hickok, is tasked with taming the wildest cow-town in the west. While delivering his own brand of frontier justice, the infamous gunfighter's reputation as the fastest draw in the west is put to the test."
Aknyeo,8394,Byung-gil Jung,"Ok-bin Kim,Ha-kyun Shin,Jun Sung,Seo-hyeong Kim",A female assassin leaves a trail of bodies behind her as she seeks revenge.
Who We Are Now,525,Matthew Newton,"Julianne Nicholson,Zachary Quinto,Jess Weixler,Lea Thompson",An ex-con tries to get back custody of her son with the help of an idealistic young public defender and at the same time falls into a romantic fling with a traumatized former US soldier.
Jasper Jones,2356,Rachel Perkins,"Levi Miller,Kevin Long,Toni Collette,Aaron L. McGrath","JASPER JONES is a coming of age story about Charlie Bucktin, a bookish boy of 14. On the night that Jasper Jones, the town's mixed race outcast shows him the dead body of young Laura ...                See full summary »"
Blue My Mind,840,Lisa Brühlmann,"Luna Wedler,Zoë Pastelle Holthuizen,Regula Grauwiller,Georg Scharegg","15-year-old Mia is facing an overwhelming transformation which calls her entire existence into question. Her body is changing radically, and despite desperate attempts to halt the process, ...                See full summary »"
Boar,1189,Chris Sun,"Nathan Jones,Bill Moseley,John Jarratt,Steve Bisley","In the harsh, yet beautiful Australian outback lives a beast, an animal of staggering size, with a ruthless, driving need for blood and destruction. It cares for none, defends its territory with brutal force, and kills with a raw, animalistic savagery unlike any have seen before."
Small Town Crime,7526,"Eshom Nelms,Ian Nelms","John Hawkes,Anthony Anderson,Octavia Spencer,Robert Forster","An alcoholic ex-cop (Hawkes) finds the body of a young woman and, through an act of self-redemption, becomes hell-bent on finding the killer but unwittingly puts his family in danger and ...                See full summary »"
Foxtrot,4265,Samuel Maoz,"Lior Ashkenazi,Sarah Adler,Yonaton Shiray,Shira Haas",A troubled family must face the facts when something goes terribly wrong at their son's desolate military post.
Kodachrome,7733,Mark Raso,"Ed Harris,Jason Sudeikis,Elizabeth Olsen,Bruce Greenwood","Set during the final days of the admired photo development system known as Kodachrome, a father and son hit the road in order to reach the Kansas photo lab before it closes its doors for good."
Beyond the Clouds,1244,Majid Majidi,"Ishaan Khattar,Malavika Mohanan,Goutam Ghose,Sharada","When on the run from the cops , Amir finds his estranged sister Tara, who in a bid to protect her brother lands up in jail. Their entire lives have been clouded by despair as unexpectedly the light shines on them from Beyond the Clouds."
XX,9330,"Roxanne Benjamin,Karyn Kusama,St. Vincent,Jovanka Vuckovic","Natalie Brown,Jonathan Watton,Peter DaCunha,Peyton Kennedy",Four short horror films that are directed and written by women.
#REALITYHIGH,4015,Fernando Lebrija,"Nesta Cooper,Keith Powers,Alicia Sanz,Jake Borelli","High-achieving high-school senior Dani Barnes dreams of getting into UC Davis, the world's top veterinary school. Then a glamorous new friend draws her into a Southern California scene that threatens everything she's worked for."
Roxanne Roxanne,1990,Michael Larnell,"Chanté Adams,Nia Long,Mahershala Ali,Germar Terrell Gardner","In the late 80s/ early 1990s, the most feared battle MC in Queens, New York, was a fierce teenage girl with the weight of the world on her shoulders. At the age of 14, Lolita ""Roxanne ...                See full summary »"
Chalard games goeng,12773,Nattawut Poonpiriya,"Chutimon Chuengcharoensukying,Eisaya Hosuwan,Teeradon Supapunpinyo,Chanon Santinatornkul","Lynn, a genius high school student who makes money by cheating tests, receives a new task that leads her to set foot on Sydney, Australia. In order to complete the millions-Baht task, Lynn and her classmates have to finish the international STIC(SAT) exam and deliver the answers back to her friends in Thailand before the exam takes place once again in her home country."
The Institute,2103,"James Franco,Pamela Romanowsky","Allie Gallerani,James Franco,Joe Pease,Scott Haze","In 19th century Baltimore, a girl stricken with grief from her parents' untimely death voluntarily checks herself into the Rosewood Institute, and is subjected to bizarre and increasingly ...                See full summary »"
Handsome: A Netflix Mystery Movie,3030,Jeff Garlin,"Ava Acres,Armani GreatDane,Dino Battaglia,Brent Bradshaw",Gene Handsome is an LA homicide detective who tries to make sense of his life as he solves crime. Handsome's knack for solving mysteries is matched only by his inability to make sense of his own problems.
Jeune femme,1656,Léonor Serraille,"Laetitia Dosch,Souleymane Seye Ndiaye,Grégoire Monsaingeon,Jean-Christophe Folly","In her early thirties, broke, and in the wake of a humbling breakup, a spirited, yet rudderless young woman finds herself struggling to get by in the bustling Parisian metropolis; however, if she can make it there, she'll make it anywhere."
A Moment in the Reeds,540,Mikko Makela,"Janne Puustinen,Boodi Kabbani,Mika Melender,Virpi Rautsiala","Having moved to Paris for university, Leevi returns to his native Finland for the summer to help his estranged father renovate the family lake house so it can be sold. Tareq, a recent ...                See full summary »"
Hostile,1838,Mathieu Turi,"Brittany Ashworth,Grégory Fitoussi,Javier Botet,Jay Benedict","Juliette, a lone survivor of an apocalyptic era, fights to survive against hunger, thirst, a broken leg and strange, disturbing creatures that only come out at nighttime."
Dead Night,742,Brad Baruh,"Brea Grant,AJ Bowen,Barbara Crampton,Sophie Dalah","A caring mother loses her sanity, setting off a chain of events resulting in tragedy and murder. The story of Casey Pollack unfolds from two very different perspectives when one night in the woods culminates in absolute terror."
The Feels,979,Jenée LaMarque,"Constance Wu,Angela Trimbur,Josh Fadem,Gretchen Klein",A lesbian bachelorette weekend goes awry when one of the brides admits she's never had an orgasm.
12 Feet Deep,10110,Matt Eskandari,"Nora-Jane Noone,Alexandra Park,Diane Farr,Tobin Bell","Inspired by true events, two sisters are trapped under the fiberglass cover of an Olympic sized public pool and must brave the cold and each other to survive the harrowing night."
68 Kill,3215,Trent Haaga,"Matthew Gray Gubler,AnnaLynne McCord,Alisha Boe,Sheila Vand","A punk-rock after hours about femininity, masculinity and the theft of $68,000."
A Christmas Prince,11504,Alex Zamm,"Rose McIver,Ben Lamb,Alice Krige,Honor Kneafsey","When a reporter goes undercover as a tutor to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?"
Muse,2346,Jaume Balagueró,"Elliot Cowan,Franka Potente,Ana Ularu,Leonor Watling",A grieving English literature professor who is suffering from a horrible recurring nightmare will soon find himself immersed in a macabre world of myth and superstition governed by a coven of seven malevolent women.
Woody Woodpecker,2414,Alex Zamm,"Eric Bauza,Timothy Omundson,Graham Verchere,Jordana Largy",The hyperactive red-headed bird enters a turf war with a big city lawyer wanting to tear down his home in an effort to build a house to flip.
The Case for Christ,6102,Jon Gunn,"Erika Christensen,Faye Dunaway,Frankie Faison,Robert Forster",An investigative journalist and self-proclaimed atheist sets out to disprove the existence of God after his wife becomes a Christian.
Devil's Gate,2714,Clay Staub,"Amanda Schull,Shawn Ashmore,Milo Ventimiglia,Bridget Regan","Seeking a missing woman in North Dakota, an FBI agent and a sheriff focus on her religious zealot husband but discover something far more sinister."
Tuntematon sotilas,5930,Aku Louhimies,"Eero Aho,Johannes Holopainen,Jussi Vatanen,Aku Hirviniemi","A film adaptation of Väinö Linna's best selling novel The Unknown Soldier (1954) and the novel's unedited manuscript version, Sotaromaani."
Picture of Beauty,345,Maxim Ford,"Taylor Sands,Danielle Rose,Pawel Hajnos,Magdalena Bochan-Jachimek","In an early 20th century village, a painter with an unusual commission finds two pretty girls to model for him. The girls slowly come of age while exploring their sexuality and finding liberation in a repressed society."
Beatriz at Dinner,7685,Miguel Arteta,"Salma Hayek,John Lithgow,Connie Britton,Jay Duplass",A holistic medicine practitioner attends a wealthy client's dinner party after her car breaks down.
Wheelman,13320,Jeremy Rush,"Frank Grillo,Caitlin Carmichael,Garret Dillahunt,Shea Whigham",A getaway driver for a bank robbery realizes he has been double crossed and races to find out who betrayed him.
Princess Cyd,1989,Stephen Cone,"Marika Mashburn,Jessie Pinnick,Paul Fagen,Rebecca Spence","Eager to escape life with her depressive single father, 16-year-old athlete Cyd Loughlin visits her novelist aunt in Chicago over the summer. While there, she falls for a girl in the ...                See full summary »"
Blind,2796,Michael Mailer,"Alec Baldwin,Demi Moore,Dylan McDermott,Rae Ritke",A novelist blinded in a car crash which killed his wife rediscovers his passion for both life and writing when he embarks on an affair with the neglected wife of an indicted businessman.
Blame,1739,Quinn Shephard,"Tate Donovan,Chris Messina,Trieste Kelly Dunn,Nadia Alexander","A drama teacher's taboo relationship with an unstable student strikes a nerve in her jealous classmate, sparking a vengeful chain of events within their suburban high school that draws parallels to 'The Crucible'."
Thumper,2163,Jordan Ross,"Eliza Taylor,Pablo Schreiber,Lena Headey,Ben Feldman","Teens in a low income neighborhood are lured into working for a violent and dangerous drug dealer. When a new girl harboring a dark secret arrives in town, their relationship jeopardizes everything."
Bajo la piel de lobo,1480,Samu Fuentes,"Mario Casas,Irene Escolar,Ruth Díaz,Kandido Uranga",A highlander that lives alone in the mountains buys a wife to relieve his loneliness.
Unicorn Store,214,Brie Larson,"Brie Larson,Samuel L. Jackson,Joan Cusack,Bradley Whitford",A woman named Kit receives a mysterious invitation that would fulfill her childhood dreams.
Pork Pie,1601,Matt Murphy,"Dean O'Gorman,James Rolleston,Ashleigh Cummings,Antonia Prebble","Pork Pie tracks the escapades of a trio of accidental outlaws as they travel the length of the New Zealand in a yellow mini, protesting conformity and chasing lost love, with a posse of cops and a media frenzy hot in their pursuit."
Outside In,1685,Lynn Shelton,"Edie Falco,Jay Duplass,Kaitlyn Dever,Ben Schwartz",An ex-con struggling to readjust to life in his small town forms an intense bond with his former high school teacher.
The Escape,1022,Dominic Savage,"Gemma Arterton,Dominic Cooper,Frances Barber,Marthe Keller",An ordinary woman makes an extraordinary decision which will change her life forever.
El guardián invisible,5572,Fernando González Molina,"Marta Etura,Elvira Mínguez,Nene,Francesc Orella",A female inspector confronts a serial killer while dealing with the ghosts of her past.
S.M.A.R.T. Chase,1246,Charles Martin,"Orlando Bloom,Lei Wu,Simon Yam,Hannah Quinlivan",A washed-up private security agent has to escort a valuable Chinese antique out of Shanghai but is ambushed en route.
Walking Out,4514,"Alex Smith,Andrew J. Smith","Matt Bomer,Josh Wiggins,Bill Pullman,Alex Neustaedter","An urban teenager journeys to Montana to hunt big game with his estranged father. Father and son struggle to connect, until a brutal encounter in the heart of the wilderness changes everything."
I Do... Until I Don't,922,Lake Bell,"Lake Bell,Ed Helms,Mary Steenburgen,Paul Reiser",An ensemble comedy about the meaning of matrimony.
The Keeping Hours,1725,Karen Moncrieff,"Carrie Coon,Lee Pace,Anna Diop,Molly Hagan","10 years after the death of their son, a divorced couple is suddenly reunited by supernatural events that offer them a chance at forgiveness."
All Summers End,911,Kyle Wilamowski,"Pablo Schreiber,Kaitlyn Dever,Tye Sheridan,Annabeth Gish","After a summer prank goes awry, a teenage boy falls in love while grappling with his guilty conscience."
The Place,5424,Paolo Genovese,"Valerio Mastandrea,Marco Giallini,Alessandro Borghi,Silvio Muccino","The fates of an apparently random group of strangers who each come into contact with a mysterious figure who they believe possesses the power to grant any wish, in return for which they must carry out a task he assigns them."
Awakening the Zodiac,1432,Jonathan Wright,"Shane West,Leslie Bibb,Matt Craven,Nicholas Campbell","Over 40 years since the infamous Zodiac killer terrorised inhabitants of San Francisco and surrounds, three people stumble across homemade films of some of his murders. They then set out to track him down."
The Man from Earth: Holocene,5865,Richard Schenkman,"David Lee Smith,John Billingsley,Brittany Curran,William Katt","A 14,000-year-old college professor notices that he has finally started showing signs of aging. Meanwhile, four of his students get suspicious of him and start investigating his past."
Viceroy's House,5156,Gurinder Chadha,"Hugh Bonneville,Gillian Anderson,Manish Dayal,Huma Qureshi","The final Viceroy of India, Lord Mountbatten, is tasked with overseeing the transition of British India to independence, but meets with conflict as different sides clash in the face of monumental change."
Oh Lucy!,1952,Atsuko Hirayanagi,"Shinobu Terajima,Josh Hartnett,Kaho Minami,Kôji Yakusho","A lonely woman living in Tokyo decides to take an English class where she discovers her alter ego, Lucy."
Damascus Cover,1258,Daniel Zelik Berk,"Jonathan Rhys Meyers,Olivia Thirlby,John Hurt,Jürgen Prochnow",A spy navigates the precarious terrain of love and survival during an undercover mission in Syria.
JoJo no kimyô na bôken: Daiyamondo wa kudakenai - dai-isshô,760,Takashi Miike,"Kento Yamazaki,Ryûnosuke Kamiki,Nana Komatsu,Masaki Okada","A teen gifted with supernatural power discovers the truth behind his cursed and bizarre bloodline, and the evil that lurks within his town."
The Hatred,1713,Michael G. Kehoe,"Sarah Davenport,Andrew Divoff,Darby Walker,Nina Siemaszko","Four young women travel to their college professor's new country home for a weekend getaway, only to discover that the house has a malevolent past."
The Recall,5937,Mauro Borrelli,"Wesley Snipes,RJ Mitte,Jedidiah Goodacre,Laura Bilgeri","When five friends vacation at a remote lake house they expect nothing less than a good time, unaware that planet Earth is under an alien invasion and mass-abduction."
The Last Word,5990,Mark Pellington,"Shirley MacLaine,Amanda Seyfried,AnnJewel Lee Dixon,Thomas Sadoski","Harriet is a retired businesswoman who tries to control everything around her. When she decides to write her own obituary, a young journalist takes up the task of finding out the truth resulting in a life-altering friendship."
The Polka King,6664,Maya Forbes,"Jack Black,Jenny Slate,Jason Schwartzman,Jacki Weaver",Local Pennsylvania polka legend Jan Lewan develops a plan to get rich that shocks his fans and lands him in jail.
The Outcasts,2863,Peter Hutchings,"Victoria Justice,Eden Sher,Ashley Rickards,Avan Jogia","After falling victim to a humiliating prank by the high school Queen Bee, best friends and world-class geeks, Mindy and Jodi, decide to get their revenge by uniting the outcasts of the school against her and her circle of friends."
Keep Watching,3187,Sean Carter,"Bella Thorne,Chandler Riggs,Ioan Gruffudd,Natalie Martinez","A family become imprisoned in their home by intruders, who force them to play a life-and-death game, where the mysterious rules become clear as the night unfolds."
Victor Crowley,3047,Adam Green,"Parry Shen,Kane Hodder,Laura Ortiz,Dave Sheridan","Ten years after the events of the original movie, Victor Crowley is mistakenly resurrected and proceeds to kill once more."
November,2096,Rainer Sarnet,"Rea Lest,Jörgen Liik,Arvo Kukumägi,Katariina Unt","In a poor Estonian village, a group of peasants use magic and folk remedies to survive the winter, and a young woman tries to get a young man to love her."
Baahubali 2: The Conclusion,63300,S.S. Rajamouli,"Prabhas,Rana Daggubati,Anushka Shetty,Tamannaah Bhatia","When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom."
Sha po lang: taam long,2214,Wilson Yip,"Louis Koo,Yue Wu,Ka Tung Lam,Chris Collins",A tough Hong Kong cop's 16 y.o. daughter disappears in Pattaya. He goes to Thailand to find her and must deal with corrupt cops but an honest one helps him track down culprits involved in illegal organ trafficking.
Revolt,6325,Joe Miale,"Lee Pace,Bérénice Marlohe,Jason Flemyng,Sibulele Gcilitshana","An amnesiac US soldier's in a cell next to a cute, French doctor. Earth is under attack by big, alien robots. Kenyan soldiers come to rape, torture and kill but the 2 fight back. They find a car and head west."
Lost in London,1742,Woody Harrelson,"Daniel Radcliffe,Woody Harrelson,Owen Wilson,Louisa Harland","Within the course of one night, Woody Harrelson finds himself in a misadventure in London that winds him up in jail."
Lazer Team 2,1714,"Daniel Fabelo,Matt Hullum","Burnie Burns,Gavin Free,Michael Jones,Colton Dunn","After one of their own is lost in another dimension, the Lazer Team groups together once again to fight against a new threat."
Hindi Medium,16058,Saket Chaudhary,"Irrfan Khan,Saba Qamar,Dishita Sehgal,Deepak Dobriyal",A couple from Chandni Chowk aspire to give their daughter the best education and thus be a part of and accepted by the elite of Delhi.
The Black Room,1837,Rolfe Kanefsky,"Natasha Henstridge,Lukas Hassel,Augie Duke,Caleb Scott","A young couple moves into their dream house, which quickly becomes a living nightmare upon discovering a demonic secret awaiting them perennially in the cellar - with unholy pleasures, fear feasting and a brute for all who cross its' path."
Submission,638,Richard Levine,"Stanley Tucci,Addison Timlin,Kyra Sedgwick,Janeane Garofalo",A cynical college professor takes a keen interest in a talented young writing student.
