Movie,Genre,Runtime,Imdb_Rating,Metascore_Rating
6 Below: Miracle on the Mountain,"Adventure, Biography, Drama",98 min,5.7,40
Just Getting Started,"Action, Comedy",91 min,4.3,21
The Breadwinner,"Animation, Drama, Family",94 min,7.7,78
Godzilla: Planet of the Monsters,"Animation, Action, Sci-Fi",89 min,6.0,0
Jusqu'à la garde,Drama,93 min,7.6,83
Bokeh,"Drama, Sci-Fi",92 min,5.0,56
Brad's Status,"Comedy, Drama, Music",102 min,6.5,71
Bad Match,Thriller,90 min,5.6,56
Outlaws,Crime,92 min,6.4,0
Acts Of Vengeance,"Action, Drama, Thriller",87 min,5.7,49
American Satan,"Drama, Music, Thriller",111 min,5.5,0
The Sense of an Ending,"Drama, Mystery",108 min,6.3,61
Creep 2,"Horror, Thriller",78 min,6.4,75
The Cakemaker,Drama,113 min,7.3,74
Euphoria,"Adventure, Drama, Mystery",104 min,5.8,0
Boo 2! A Madea Halloween,"Comedy, Horror",101 min,3.8,17
Permission,"Comedy, Drama, Romance",96 min,5.3,62
iBoy,"Action, Crime, Sci-Fi",90 min,6.0,50
Let the Sunshine In,"Comedy, Drama, Romance",94 min,6.0,79
Starship Troopers: Traitor of Mars,"Animation, Action, Sci-Fi",88 min,5.5,0
Black Butterfly,Thriller,93 min,6.1,43
The Leisure Seeker,"Adventure, Comedy, Drama",112 min,6.6,45
Resident Evil: Vendetta,"Animation, Action, Adventure",97 min,6.3,0
Trouble,"Comedy, Drama",100 min,4.3,60
Mayhem,"Action, Comedy, Horror",86 min,6.3,62
Dark River,"Drama, Mystery, Thriller",90 min,5.7,69
Voice from the Stone,"Drama, Mystery, Thriller",94 min,5.2,42
"I Love You, Daddy","Comedy, Drama",123 min,6.3,56
Rememory,"Drama, Mystery, Sci-Fi",111 min,6.2,48
Bareilly Ki Barfi,"Comedy, Romance",116 min,7.5,0
A Swingers Weekend,"Comedy, Drama",90 min,5.4,0
Gnome Alone,"Animation, Action, Comedy",85 min,5.6,0
Another WolfCop,"Comedy, Horror",82 min,4.8,0
The Man Who Invented Christmas,"Biography, Comedy, Drama",104 min,7.0,60
Churchill,"Biography, Drama, History",105 min,6.3,44
Freak Show,"Comedy, Drama",91 min,6.3,54
Kung Fu Yoga,"Action, Adventure, Comedy",107 min,5.2,50
L'insulte,"Crime, Drama, Thriller",113 min,7.7,72
Gi-eok-ui bam,"Mystery, Thriller",108 min,7.3,0
Brigsby Bear,"Comedy, Drama",97 min,7.3,68
The Doll 2,"Horror, Thriller",117 min,5.4,0
The Hunter's Prayer,"Action, Crime, Drama",91 min,5.5,35
Final Portrait,"Biography, Comedy, Drama",90 min,6.3,70
Security,"Action, Crime, Thriller",88 min,5.7,0
Knock,Comedy,113 min,6.0,0
Wolf Warrior 2,"Action, Drama, Thriller",123 min,6.2,44
"Mektoub, My Love: Canto Uno","Comedy, Romance",181 min,6.6,55
Gemini,"Crime, Drama, Mystery",93 min,5.5,71
Happy End,Drama,107 min,6.8,72
What Will People Say,Drama,106 min,7.5,69
Jab Harry Met Sejal,"Comedy, Drama, Romance",143 min,5.4,0
Mata Batin,"Horror, Thriller",108 min,5.0,0
The Bachelors,"Comedy, Drama",99 min,6.8,54
Sin-gwa ham-kke: Jwi-wa beol,"Action, Drama, Fantasy",139 min,7.3,0
Sicilian Ghost Story,"Crime, Drama, Fantasy",122 min,6.6,70
Bushwick,"Action, Adventure",94 min,5.2,44
Batman and Harley Quinn,"Animation, Action, Adventure",74 min,5.9,0
Les affamés,"Drama, Horror, Sci-Fi",104 min,6.0,0
Let There Be Light,Drama,100 min,4.8,0
Fun Mom Dinner,Comedy,81 min,5.2,46
How to Get Girls,Comedy,93 min,4.0,0
A Violent Man,"Crime, Drama, Thriller",107 min,6.5,0
Babumoshai Bandookbaaz,"Action, Crime, Thriller",122 min,7.0,0
9/11,"Action, Drama",90 min,4.1,20
Dear Dictator,Comedy,90 min,5.0,44
Bomb City,"Crime, Drama",95 min,6.9,65
Shimmer Lake,"Crime, Drama, Mystery",83 min,6.2,0
BPM (Beats Per Minute),Drama,143 min,7.5,84
Journeyman,"Drama, Sport",92 min,7.2,72
Mugen no jûnin,"Action, Drama, Fantasy",140 min,6.8,72
The Ballad of Lefty Brown,"Action, Drama, Western",111 min,6.2,64
The Year of Spectacular Men,"Comedy, Drama, Romance",102 min,5.5,61
The Dinner,"Crime, Drama, Thriller",120 min,4.5,57
The Tribes of Palos Verdes,Drama,104 min,5.8,49
55 Steps,"Biography, Drama",115 min,6.8,42
Desearás al hombre de tu hermana,"Comedy, Drama, Romance",93 min,4.0,0
Palm Swings,"Comedy, Drama, Romance",95 min,4.4,0
Izzy Gets the Fuck Across Town,"Comedy, Drama, Music",86 min,5.4,51
Arsenal,"Action, Crime, Drama",97 min,4.0,25
Indian Horse,Drama,101 min,7.3,0
Tragedy Girls,"Comedy, Crime, Horror",98 min,6.0,58
Fack ju Göhte 3,Comedy,120 min,5.4,0
Hickok,Western,88 min,4.7,49
Aknyeo,"Action, Drama",129 min,6.7,64
Who We Are Now,Drama,95 min,6.5,83
Jasper Jones,"Drama, Mystery, Thriller",105 min,6.6,0
Blue My Mind,"Drama, Fantasy",97 min,6.0,63
Boar,Horror,96 min,5.1,0
Small Town Crime,"Crime, Mystery, Thriller",91 min,6.6,68
Foxtrot,Drama,113 min,7.4,90
Kodachrome,Drama,105 min,6.8,57
Beyond the Clouds,"Drama, Family",120 min,7.0,55
XX,Horror,80 min,4.6,64
#REALITYHIGH,"Comedy, Drama, Romance",99 min,5.3,0
Roxanne Roxanne,"Biography, Drama, Music",100 min,6.2,74
Chalard games goeng,"Comedy, Crime, Drama",130 min,7.7,0
The Institute,Thriller,90 min,4.1,0
Handsome: A Netflix Mystery Movie,"Comedy, Mystery",80 min,5.3,0
Jeune femme,Drama,97 min,6.6,76
A Moment in the Reeds,"Drama, Romance",108 min,6.9,0
Hostile,"Drama, Horror",83 min,5.5,0
Dead Night,"Fantasy, Horror",86 min,4.3,0
The Feels,"Comedy, Romance",90 min,5.3,0
12 Feet Deep,"Horror, Thriller",85 min,5.6,0
68 Kill,"Comedy, Crime, Romance",93 min,6.0,56
A Christmas Prince,"Comedy, Romance",92 min,5.7,0
Muse,"Horror, Sci-Fi, Thriller",107 min,5.4,0
Woody Woodpecker,"Animation, Comedy, Family",91 min,4.2,0
The Case for Christ,"Biography, Drama",112 min,6.2,50
Devil's Gate,"Horror, Sci-Fi, Thriller",94 min,5.1,37
Tuntematon sotilas,"Drama, War",132 min,7.9,0
Picture of Beauty,"Drama, Romance",70 min,3.7,0
Beatriz at Dinner,"Comedy, Drama",82 min,6.1,68
Wheelman,"Action, Crime, Mystery",82 min,6.4,66
Princess Cyd,"Drama, Romance",96 min,6.7,72
Blind,"Drama, Romance",98 min,5.7,36
Blame,Drama,100 min,5.8,54
Thumper,"Crime, Drama, Thriller",93 min,5.9,0
Bajo la piel de lobo,Drama,110 min,5.7,0
Unicorn Store,Comedy,92 min,5.1,0
Pork Pie,"Action, Comedy, Crime",105 min,6.4,0
Outside In,Drama,109 min,6.6,76
The Escape,Drama,101 min,5.9,75
El guardián invisible,Thriller,129 min,6.3,0
S.M.A.R.T. Chase,"Action, Adventure, Crime",95 min,4.2,0
Walking Out,"Adventure, Drama, Mystery",95 min,5.8,79
I Do... Until I Don't,Comedy,106 min,4.5,43
The Keeping Hours,"Drama, Horror, Mystery",91 min,6.2,0
All Summers End,Drama,90 min,5.9,0
The Place,"Drama, Mystery, Thriller",105 min,7.1,0
