Movie,Genre,Runtime,Imdb_Rating,Metascore_Rating,Release_date,Popularity,Votes,Director,Stars,Description
American Assassin,"Action, Thriller",112 min,6.2,45,2017-09-14,11.69,55313,Michael Cuesta,"Dylan O'Brien,Michael Keaton,Sanaa Lathan,Taylor Kitsch","After the death of his girlfriend at the hands of terrorists, Mitch Rapp is drawn into the world of counterterrorism, mentored by tough-as-nails former U.S. Navy S.E.A.L. Stan Hurley."
The Rider,"Drama, Western",104 min,7.5,92,2017-08-16,8.704,7833,Chloé Zhao,"Brady Jandreau,Mooney,Tim Jandreau,Lilly Jandreau","After suffering a near fatal head injury, a young cowboy undertakes a search for new identity and what it means to be a man in the heartland of America."
Gifted,Drama,101 min,7.6,60,2017-04-12,13.656,78287,Marc Webb,"Chris Evans,Mckenna Grace,Lindsay Duncan,Octavia Spencer","Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother."
Death Note,"Adventure, Crime, Drama",101 min,4.5,43,2017-08-25,9.705,64365,Adam Wingard,"Nat Wolff,Lakeith Stanfield,Margaret Qualley,Shea Whigham","A high school student named Light Turner discovers a mysterious notebook that has the power to kill anyone whose name is written within its pages, and launches a secret crusade to rid the world of criminals."
Okja,"Action, Adventure, Drama",120 min,7.3,75,2017-06-28,9.113,68343,Joon-ho Bong,"Tilda Swinton,Paul Dano,Seo-hyun Ahn,Jake Gyllenhaal","A young girl risks everything to prevent a powerful, multinational company from kidnapping her best friend - a fascinating beast named Okja."
The Big Sick,"Comedy, Drama, Romance",120 min,7.6,86,2017-06-23,13.125,99745,Michael Showalter,"Kumail Nanjiani,Zoe Kazan,Holly Hunter,Ray Romano","Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings."
You Get Me,"Crime, Drama, Romance",89 min,4.7,0,2017-06-19,8.165,8808,Brent Bonacorso,"Bella Thorne,Halston Sage,Taylor John Smith,Nash Grier","Tyler's crazy in love with his perfect girlfriend Ali, but when a big fight makes him and Ali break up, he lands in the arms of Holly, an out-of-towner who shows him a night he's gonna ...                See full summary »"
Rebel in the Rye,"Biography, Drama, Romance",106 min,6.7,46,2017-09-15,8.884,5704,Danny Strong,"Nicholas Hoult,Kevin Spacey,Victor Garber,Hope Davis","The life of celebrated but reclusive author, J.D. Salinger, who gained worldwide fame with the publication of his novel, ""The Catcher in the Rye""."
The Circle,"Drama, Sci-Fi, Thriller",110 min,5.3,43,2017-04-27,13.236,69719,James Ponsoldt,"Emma Watson,Tom Hanks,John Boyega,Ellar Coltrane","A woman lands a dream job at a powerful tech company called the Circle, only to uncover an agenda that will affect the lives of all of humanity."
1922,"Crime, Drama, Horror",102 min,6.3,70,2017-10-20,8.065,33055,Zak Hilditch,"Thomas Jane,Molly Parker,Dylan Schmid,Kaitlyn Bernard","A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences."
War for the Planet of the Apes,"Action, Adventure, Drama",140 min,7.5,82,2017-07-11,22.29,193709,Matt Reeves,"Andy Serkis,Woody Harrelson,Steve Zahn,Karin Konoval","After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind."
