Movie,Release_date,Popularity
The Crucifixion,2017-04-27,8.214
Movie,Release_date,Popularity
Dirty Dancing,2017-05-24,8.198
Pilgrimage,2017-08-11,8.19
You Get Me,2017-06-19,8.165
Le Brio,2017-11-22,8.162
Perfect Strangers,2017-12-01,8.152
Thank You for Your Service,2017-10-26,8.14
The Villainess,2017-06-08,8.118
High Heel Homicide,2017-06-20,8.094
The Little Hours,2017-06-30,8.094
Film Stars Don't Die in Liverpool,2017-11-17,8.076
Viceroy's House,2017-03-03,8.065
1922,2017-10-20,8.065
Bushwick,2017-07-30,8.056
Hangman,2017-12-22,8.052
The Exception,2017-06-02,8.044
The Healer,2017-02-17,8.013
Black Butterfly,2017-05-26,8.007
Lady Macbeth,2017-01-20,7.992
Woody Woodpecker,2017-10-05,7.984
Mayhem,2017-03-13,7.976
Movie,Release_date,Popularity
Mr. Stein Goes Online,2017-04-12,7.959
iBoy,2017-01-27,7.931
To the Bone,2017-01-22,7.927
Drone,2017-05-26,7.913
2036: Nexus Dawn,2017-08-29,7.904
The Most Hated Woman in America,2017-03-24,7.881
If I Were a Boy,2017-02-22,7.871
Creep 2,2017-10-06,7.866
Abducted in Plain Sight,2017-05-26,7.865
Godzilla: Planet of the Monsters,2017-11-17,7.85
Salyut-7,2017-09-22,7.83
Their Finest,2017-04-06,7.827
Justice League Dark,2017-01-24,7.819
The Bachelors,2017-10-20,7.816
Wedding Unplanned,2017-04-26,7.804
Christmas & Co.,2017-12-06,7.783
Ingrid Goes West,2017-08-11,7.745
The Book of Henry,2017-06-16,7.737
Table 19,2017-03-03,7.734
My Blind Date with Life,2017-01-26,7.72
Movie,Release_date,Popularity
First They Killed My Father,2017-02-18,7.715
Tragedy Girls,2017-10-20,7.702
Orbiter 9,2017-04-07,7.7
9/11,2017-09-07,7.697
A Family Man,2017-05-18,7.695
S.M.A.R.T. Chase,2017-09-30,7.692
The Other Side of Hope,2017-02-03,7.655
Churchill,2017-05-25,7.636
Patti Cake$,2017-08-18,7.629
Armed Response,2017-08-04,7.624
Bad Genius,2017-05-03,7.617
The Battleship Island,2017-07-26,7.612
Wilson,2017-03-24,7.596
Knock,2017-10-18,7.594
Thelma,2017-09-15,7.562
Kung Fu Yoga,2017-01-27,7.559
Beatriz at Dinner,2017-06-09,7.539
The Lodgers,2017-10-05,7.487
The Outcasts,2017-04-14,7.487
Borg vs McEnroe,2017-09-06,7.486
Movie,Release_date,Popularity
Don't Knock Twice,2017-02-03,7.484
Tangled: Before Ever After,2017-03-10,7.446
Wheelman,2017-10-20,7.435
Song to Song,2017-03-17,7.434
Blame!,2017-05-20,7.424
Maudie,2017-04-14,7.415
Wakefield,2017-05-19,7.411
The Vault,2017-09-01,7.411
Sandy Wexler,2017-04-14,7.407
